# first run

===== PLAYER RANKINGS BY WINS =====
Rank | Player Name         | Wins  | Games | Win Rate
  21 | Yellow Pianta        |  8604 |  5000 | 24.58%
  22 | Red Pianta           |  8551 |  5000 | 24.43%
  23 | Brown Kritter        |  8471 |  5000 | 24.20%
  24 | Fire Bro             |  8468 |  5000 | 24.19%
  25 | Kritter              |  8382 |  5000 | 23.95%
  26 | Green Dry Bones      |  8114 |  5000 | 23.18%
  27 | Blue Dry Bones       |  7997 |  5000 | 22.85%
  28 | Diddy Kong           |  7982 |  5000 | 22.81%
  29 | Wiggler              |  7949 |  5000 | 22.71%
  30 | Hammer Bro           |  7483 |  5000 | 21.38%
  31 | Blue Kritter         |  7359 |  5000 | 21.03%
  32 | Baby Donkey Kong     |  6956 |  5000 | 19.87%
  33 | Mii                  |  6331 |  5000 | 18.09%
  34 | Red Koopa Troopa     |  6298 |  5000 | 17.99%
  35 | Purple Toad          |  6193 |  5000 | 17.69%
  36 | Blue Toad            |  6098 |  5000 | 17.42%
  37 | Yoshi                |  5983 |  5000 | 17.09%
  38 | Yellow Toad          |  5380 |  5000 | 15.37%
  39 | Blooper              |  5098 |  5000 | 14.57%
  40 | Baby Daisy           |  5036 |  5000 | 14.39%
  41 | Red Toad             |  4943 |  5000 | 14.12%
  42 | Green Paratroopa     |  4915 |  5000 | 14.04%
  43 | Red Magikoopa        |  4906 |  5000 | 14.02%
  44 | Green Noki           |  4854 |  5000 | 13.87%
  45 | Boo                  |  4795 |  5000 | 13.70%
  46 | Green Shy Guy        |  4785 |  5000 | 13.67%
  47 | Green Koopa Troopa   |  4682 |  5000 | 13.38%
  48 | Green Toad           |  4642 |  5000 | 13.26%
  49 | Red Shy Guy          |  4642 |  5000 | 13.26%
  50 | Paragoomba           |  4622 |  5000 | 13.21%
  51 | Yellow Magikoopa     |  4616 |  5000 | 13.19%
  52 | Magikoopa            |  4110 |  5000 | 11.74%
  53 | Grey Shy Guy         |  4080 |  5000 | 11.66%
  54 | Toadsworth           |  4030 |  5000 | 11.51%
  55 | Red Paratroopa       |  3973 |  5000 | 11.35%
  56 | Blue Shy Guy         |  3849 |  5000 | 11.00%
  57 | Baby Peach           |  3753 |  5000 | 10.72%
  58 | Monty Mole           |  3679 |  5000 | 10.51%
  59 | Yellow Yoshi         |  3577 |  5000 | 10.22%
